it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText.imgUrl,trendingText.heading,trendingText.desc
0,Diesel,SUV,"45,242",Manual,1,1st Owner,Mahindra,Mahindra XUV300,2020,7755,W4 Diesel BSVI,₹ 8.45 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"38,000",Automatic,2,2nd Owner,Land Rover,Land Rover Discovery Sport,2018,4860,SD4 HSE Luxury 7S,₹ 34.75 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"52,979",Automatic,1,1st Owner,Tata,Tata Tiago,2019,6967,XZA,₹ 5.13 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,Sedan,"67,130",Manual,2,2nd Owner,Honda,Honda Amaze,2015,7450,VX Diesel,₹ 5.70 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,SUV,"19,595",Manual,1,1st Owner,Honda,Honda BR-V,2018,1185,i-VTEC VX MT,₹ 8.51 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"23,183",Manual,1,1st Owner,Mahindra,Mahindra Scorpio N,2022,9237,Z8L Diesel 4x4 BSVI,₹ 23.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,Sedan,"15,000",Automatic,1,1st Owner,BMW,BMW 3 Series Gran Limousine,2022,8275,320Ld Luxury Line,₹ 57.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"67,558",Manual,1,1st Owner,Maruti,Maruti Celerio,2014,3979,VXI,₹ 3.70 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,SUV,"40,000",Manual,1,1st Owner,Hyundai,Hyundai Alcazar,2021,8473,Signature Dual Tone,₹ 19 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"55,664",Manual,1,1st Owner,Volkswagen,Volkswagen Polo,2014,1973,1.2 MPI Highline,₹ 4.60 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"55,664",Manual,1,1st Owner,Volkswagen,Volkswagen Polo,2014,1973,1.2 MPI Highline,₹ 4.60 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,Hatchback,"1,09,324",Manual,1,1st Owner,Hyundai,Hyundai i20,2013,1628,Magna 1.4 CRDi,₹ 3.65 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"1,18,008",Automatic,1,1st Owner,Skoda,Skoda Kodiaq,2018,5357,2.0 TDI Style,₹ 26 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"72,000",Manual,1,1st Owner,Renault,Renault Duster,2016,5048,110PS Diesel RxZ AWD,₹ 7.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,Hatchback,"86,630",Manual,1,1st Owner,Maruti,Maruti Swift,2013,4204,VDI,₹ 4.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"82,476",Manual,1,1st Owner,Maruti,Maruti Wagon R,2014,4310,VXI BS IV,₹ 3.70 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
