car_links,city,new_car_detail_0_it,new_car_detail_1_ft,new_car_detail_2_bt,new_car_detail_3_km,new_car_detail_4_transmission,new_car_detail_5_ownerNo,new_car_detail_6_owner,new_car_detail_7_oem,new_car_detail_8_model,new_car_detail_9_modelYear,new_car_detail_10_centralVariantId,new_car_detail_11_variantName,new_car_detail_12_price,new_car_detail_13_priceActual,new_car_detail_14_priceSaving,new_car_detail_15_priceFixedText,car_age,new_car_overview_1_top_Year of Manufacture,new_car_specs_1_top_Seats
0.7116028708133971,0.0,0.0,1.0,0.3,0.0579603815113719,1.0,0.6000000000000001,0.6000000000000001,0.625,0.5095541401273885,0.7894736842105203,0.3582439376183178,0.8376623376623377,0.498927805575411,0.0,,,0.2105263157894736,2015.0,5.0
0.0107655502392344,0.0,0.0,1.0,0.8,0.3206162876008804,1.0,0.4,0.4,0.1875,0.1592356687898089,0.8684210526315752,0.5482736861083567,0.1335807050092764,0.8813438170121516,0.0,,,0.131578947368421,2018.0,5.0
0.9294258373205742,0.0,0.0,1.0,0.3,0.1078503301540719,1.0,0.2,0.2,0.90625,0.8694267515923567,0.8684210526315752,0.2684575858649599,0.0598330241187384,0.6619013581129378,0.0,,,0.131578947368421,2018.0,5.0
0.1385167464114832,0.0,0.0,1.0,0.9,0.1579848373685497,1.0,0.2,0.2,0.28125,0.2770700636942675,0.7631578947368425,0.1678536013702334,0.0468460111317254,0.5432451751250894,0.0,,,0.2368421052631579,2014.0,5.0
0.7836124401913875,0.0,0.0,0.25,0.8,0.6485693323550991,1.0,0.2,0.2,0.625,0.5668789808917197,0.7894736842105203,0.3851077255927161,0.4577922077922078,0.8527519656897784,0.0,,,0.2105263157894736,2015.0,5.0
0.6074162679425837,0.0,0.0,0.25,0.8,0.1873318659819026,1.0,0.2,0.2,0.375,0.321656050955414,0.9210526315789452,0.5342107635445777,0.2249536178107606,0.2473195139385275,0.0,,,0.0789473684210526,2020.0,5.0
0.0026315789473684,0.0,0.0,1.0,0.3,0.3812668134018097,1.0,0.2,0.2,0.125,0.1178343949044586,0.8421052631578902,0.4703867303705039,0.7810760667903525,0.4210150107219442,0.0,,,0.1578947368421052,2017.0,5.0
0.5724880382775119,0.0,0.0,1.0,0.8,0.289312790413304,0.0,0.2,0.2,0.28125,0.2707006369426751,0.94736842105263,0.6257099071486524,0.7333024118738405,0.1150822015725518,0.0,,,0.0526315789473684,2021.0,5.0
0.7191387559808613,0.0,0.0,1.0,0.9,0.3739300562484715,0.0,0.2,0.2,0.625,0.5191082802547771,0.8684210526315752,0.5904624537996935,0.3868274582560297,0.9678341672623304,0.0,,,0.131578947368421,2018.0,5.0
0.3120813397129187,0.0,0.0,1.0,0.3,0.1078503301540719,1.0,0.2,0.2,0.90625,0.8694267515923567,0.8421052631578902,0.2686378797439827,0.0616883116883116,0.6619013581129378,0.0,,,0.1578947368421052,2017.0,5.0
0.6956937799043063,0.0,0.0,1.0,0.3,0.5324040107605772,1.0,0.2,0.2,0.625,0.5,0.8684210526315752,0.356711439646624,0.0394248608534322,0.7655468191565404,0.0,,,0.131578947368421,2018.0,5.0
0.0812200956937799,0.0,0.0,1.0,0.3,0.2364881389092687,0.0,0.2,0.2,0.28125,0.2452229299363057,0.8947368421052602,0.5049130082033715,0.0496289424860853,0.7598284488920658,0.0,,,0.1052631578947368,2019.0,5.0
0.4680622009569378,0.0,0.0,1.0,0.3,0.2152115431645879,0.0,0.2,0.2,0.25,0.2101910828025477,0.8684210526315752,0.5860452537636348,0.8320964749536178,0.8899213724088635,0.0,,,0.131578947368421,2018.0,5.0
0.3138755980861244,0.0,0.0,1.0,0.3,0.512839325018342,0.0,0.2,0.2,0.90625,0.8694267515923567,0.8684210526315752,0.5091499143604075,0.062152133580705,0.6690493209435311,0.0,,,0.131578947368421,2018.0,5.0
0.1510765550239234,0.0,0.0,0.25,0.8,0.0322817314746881,1.0,0.6000000000000001,0.6000000000000001,0.53125,0.4681528662420382,0.7631578947368425,0.3440908681150275,0.8701298701298702,0.7655468191565404,0.0,,,0.2368421052631579,2014.0,7.0
0.6057416267942584,0.0,0.0,0.25,0.8,0.8559550012227929,1.0,0.2,0.2,0.375,0.321656050955414,0.8684210526315752,0.5340304696655549,0.2193877551020408,0.1479628305932809,0.0,,,0.131578947368421,2018.0,5.0
0.8350478468899522,0.0,0.0,0.25,0.8,0.1398875030569821,0.0,0.2,0.2,0.65625,0.6496815286624205,0.973684210526315,0.760118993960155,0.2898886827458256,0.6890636168691923,0.0,,,0.0263157894736842,2022.0,5.0
0.1111244019138756,0.0,0.0,0.25,0.3,0.7048178038640255,1.0,0.4,0.4,0.28125,0.286624203821656,0.7631578947368425,0.1489227440728387,0.3951762523191094,0.6161543959971408,0.0,,,0.2368421052631579,2014.0,5.0
0.9232057416267944,0.0,0.0,1.0,0.8,0.0921985815602837,1.0,0.2,0.2,0.90625,0.8439490445859873,0.973684210526315,0.8295321373839358,0.8933209647495362,0.0507505360972122,0.0,,,0.0263157894736842,2022.0,5.0
0.4455741626794258,0.0,0.0,1.0,0.9,0.7214477867449255,1.0,0.4,0.4,0.25,0.2006369426751592,0.8157894736842053,0.1090777968087983,0.9735621521335808,0.8434596140100071,0.0,,,0.1842105263157894,2016.0,5.0
0.3631578947368421,0.0,0.0,0.25,0.9,0.0002445585717779,0.0,0.6000000000000001,0.6000000000000001,0.03125,0.054140127388535,0.6842105263157876,0.4766970161363021,0.3487940630797774,0.3438170121515368,0.0,,,0.3157894736842105,2011.0,5.0
